file_no,file_name,relative_path,original_path,backup_path,source_used_for_rotation,rotation,original_width,original_height,new_width,new_height,status,notes
44,DJI_20260702130043_0008_F.JPG,DJI_20260702130043_0008_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130043_0008_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130043_0008_F.JPG,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
45,DJI_20260702130043_0008_MS_G.TIF,DJI_20260702130043_0008_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130043_0008_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130043_0008_MS_G.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
46,DJI_20260702130043_0008_MS_NIR.TIF,DJI_20260702130043_0008_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130043_0008_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130043_0008_MS_NIR.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
47,DJI_20260702130043_0008_MS_R.TIF,DJI_20260702130043_0008_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130043_0008_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130043_0008_MS_R.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
48,DJI_20260702130043_0008_MS_RE.TIF,DJI_20260702130043_0008_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130043_0008_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130043_0008_MS_RE.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
49,DJI_20260702130152_0009_D.JPG,DJI_20260702130152_0009_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130152_0009_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130152_0009_D.JPG,backup_original,CCW_90,5280,3956,3956,5280,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
50,DJI_20260702130152_0009_F.JPG,DJI_20260702130152_0009_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130152_0009_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130152_0009_F.JPG,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
51,DJI_20260702130152_0009_MS_G.TIF,DJI_20260702130152_0009_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130152_0009_MS_G.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130152_0009_MS_G.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
52,DJI_20260702130152_0009_MS_NIR.TIF,DJI_20260702130152_0009_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130152_0009_MS_NIR.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130152_0009_MS_NIR.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
53,DJI_20260702130152_0009_MS_R.TIF,DJI_20260702130152_0009_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130152_0009_MS_R.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130152_0009_MS_R.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
54,DJI_20260702130152_0009_MS_RE.TIF,DJI_20260702130152_0009_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130152_0009_MS_RE.TIF,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130152_0009_MS_RE.TIF,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
55,DJI_20260702130251_0010_D.JPG,DJI_20260702130251_0010_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130251_0010_D.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130251_0010_D.JPG,backup_original,CCW_90,5280,3956,3956,5280,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
56,DJI_20260702130251_0010_F.JPG,DJI_20260702130251_0010_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\data\Third Trial\Day 4\DJI_20260702130251_0010_F.JPG,C:\Users\tshib\OneDrive\Desktop\Internship\outputs\Third trial\00_Day4_Orientation_Fix\backup_original_day4_images\DJI_20260702130251_0010_F.JPG,backup_original,CCW_90,2592,1944,1944,2592,ROTATED,Image was rotated 90 degrees counter-clockwise and replaced in place.
