day_order,day,tray,tray_no,capture_id,cell_id,row,column,raw_current_green_evidence,tracked_visible_emerged,carried_forward_only,first_visible_emergence_day,first_visible_emergence_day_order,green_pixels,largest_green_component,green_area_percent,square_side,coordinate_source,square_x0,square_y0,square_x1,square_y1,centre_x,centre_y
1,Day 1,Tray 1,1,DJI_20260618124632_0008,16,2,6,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,1962.712,405.942,2256.177,699.407,2109.444,552.674
1,Day 1,Tray 1,1,DJI_20260618124632_0008,17,2,7,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,2342.412,408.051,2635.877,701.516,2489.144,554.784
1,Day 1,Tray 1,1,DJI_20260618124632_0008,18,2,8,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,2724.221,412.27,3017.686,705.735,2870.954,559.003
1,Day 1,Tray 1,1,DJI_20260618124632_0008,19,2,9,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,3103.921,408.051,3397.386,701.516,3250.654,554.784
1,Day 1,Tray 1,1,DJI_20260618124632_0008,20,2,10,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,3479.403,418.599,3772.867,712.064,3626.135,565.331
1,Day 1,Tray 1,1,DJI_20260618124632_0008,21,3,1,Yes,Yes,No,Day 1,1,716,716,0.83119,293.465,direct_cup_evidence,53.665,724.468,347.13,1017.933,200.397,871.201
1,Day 1,Tray 1,1,DJI_20260618124632_0008,22,3,2,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,431.255,728.687,724.72,1022.152,577.988,875.419
1,Day 1,Tray 1,1,DJI_20260618124632_0008,23,3,3,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,817.284,724.468,1110.749,1017.933,964.016,871.201
1,Day 1,Tray 1,1,DJI_20260618124632_0008,24,3,4,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,1196.984,732.906,1490.449,1026.371,1343.716,879.638
1,Day 1,Tray 1,1,DJI_20260618124632_0008,25,3,5,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,1578.793,735.015,1872.258,1028.48,1725.526,881.748
1,Day 1,Tray 1,1,DJI_20260618124632_0008,26,3,6,Yes,Yes,No,Day 1,1,715,715,0.83286,293.465,direct_cup_evidence,1960.603,730.796,2254.067,1024.261,2107.335,877.529
1,Day 1,Tray 1,1,DJI_20260618124632_0008,27,3,7,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,2348.74,735.015,2642.205,1028.48,2495.473,881.748
1,Day 1,Tray 1,1,DJI_20260618124632_0008,28,3,8,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,2709.455,745.563,3002.92,1039.027,2856.188,892.295
1,Day 1,Tray 1,1,DJI_20260618124632_0008,29,3,9,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,3099.703,735.015,3393.167,1028.48,3246.435,881.748
1,Day 1,Tray 1,1,DJI_20260618124632_0008,30,3,10,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,3479.403,735.015,3772.867,1028.48,3626.135,881.748
1,Day 1,Tray 1,1,DJI_20260618124632_0008,31,4,1,Yes,Yes,No,Day 1,1,68,68,0.07894,293.465,direct_cup_evidence,57.884,1045.104,351.349,1338.569,204.616,1191.836
1,Day 1,Tray 1,1,DJI_20260618124632_0008,32,4,2,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,429.146,1053.541,722.611,1347.006,575.878,1200.274
1,Day 1,Tray 1,1,DJI_20260618124632_0008,33,4,3,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,813.065,1057.76,1106.53,1351.225,959.797,1204.493
1,Day 1,Tray 1,1,DJI_20260618124632_0008,34,4,4,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,1192.765,1053.541,1486.23,1347.006,1339.497,1200.274
1,Day 1,Tray 1,1,DJI_20260618124632_0008,35,4,5,No,No,No,,,0,0,0.0,293.465,direct_cup_evidence,1578.793,1059.87,1872.258,1353.335,1725.526,1206.602
